text,label
the surrounding buildings,1
a modern skyscraper,1
the right,0
"a large , beige building",1
a concrete facade,1
"another large , tan building",1
a spire,0
"a large , dome - shaped building",1
"a large , light brown skyscraper",1
"a very large , light beige modern high - rise building",1
the tallest skyscraper,1
repetitive vertical black window stripes,0
the brown office building,1
its medium size,0
multiple stories,0
rectangular windows,0
a dark tint,0
the large gray building,1
its concrete texture,0
horizontal lines,0
the large beige skyscraper,1
a grid,0
the large cream - colored building,1
multiple rectangular windows,0
a grid pattern,0
the beige high - rise building,1
its textured concrete facade,1
vertical lines,0
the large beige office building,1
vertical windows,0
the beige and black tall building,1
vertical stripes,0
a large skyscraper,1
the gray high - rise,0
brown accents,0
This building,1
multiple open balconies,0
horizontal brown slats,0
large windows,0
dark glass panels,0
a commercial or residential skyscraper,1
"a large , light beige building",1
decorative blue trims,0
multiple rows,0
"the tall , prominent white skyscraper",1
a conical top,0
the large gray building,1
"its tall , rectangular form and window patterns",0
the medium - sized residential building,1
white and brown hues,0
rounded windows,0
a black shingled roof,1
a slight left turn,0
your course,0
the tall skyscraper,1
its light brown color,0
dark conical roof,1
the medium - sized office building,1
a modern architectural design,0
a triangular pattern,0
the side,0
the brown building,1
a large rectangular shape,0
multiple windows,0
the beige office building,1
medium size,0
horizontal decor lines,0
a beige skyscraper,1
large rectangular windows,0
a grid pattern,0
a right,0
a gray - and - blue building,1
a tall structure,1
vertical glass windows,0
concrete panels,0
a modern building facade,1
a textured surface,0
large rectangular grid - style windows,0
multiple floors,1
"the large , brown building",1
its rectangular shape,0
multiple windows,0
slightly veer,0
"the large , grey skyscraper",1
the tallest structure,1
the right side,0
the image,0
the building,1
a red brick appearance,0
rectangular windows,0
medium size,0
the light gray building,1
large rectangular windows,0
the right,0
another light gray structure,1
a textured surface,0
similar rectangular windows,0
a gray building,1
a large rectangular flat roof,1
the beige building,1
a rectangular shape,0
black stripes,0
multiple windows,0
a tall high - rise building,1
its red color,0
large vertical glass windows,0
rectangular structure,1
impressive height,0
"a very large , gray skyscraper",1
"its tall , rectangular shape",0
vertical window patterns,0
the tallest black skyscraper,1
a similar vertical window design,0
a large size,0
the tan building,1
its rectangular windows,0
large size,0
the light,0
beige high - rise office building,1
its multiple uniform windows,0
several stories,0
"a large , beige rectangular building",1
a grid,0
a large building,1
a brown and beige patterned brick texture,0
rectangular windows,0
a high - rise red brick building,1
beige concrete elements,0
a repetitive window pattern,0
brick and concrete sections,0
both commercial and residential purposes,0
"a large , black , rectangular building",1
"a large , dark brown",0
rectangular building,1
multiple rooftop structures,1
"a tall , green palm tree",0
a slim trunk,0
a cluster,0
the top,0
"a medium - sized , dark grey",0
rectangular concrete platform,0
"a tall , brown building",1
a brick wall,1
"rectangular , aligned windows",0
"a large , beige building",1
blocky structures,1
rectangular windows,0
a right turn,0
a red - brick commercial building,1
uniform rectangular windows,0
a flat roof,1
medium height,0
the surrounding skyscrapers,1
"the large , tall building",1
grey color,0
rectangular structure,1
vertical lines,0
the modern skyscraper,1
gray color,0
vertical window lines,0
a large grey building,1
horizontally aligned windows,0
a tall commercial / office building,1
a grey exterior,1
brick accents,0
rectangular windows,0
a repeated pattern,0
"a green , medium - sized palm tree",0
detailed palm fronds,0
a central trunk,0
a medium - sized brown building,1
rectangular windows,0
a grid pattern,0
a large and significantly taller orange - brown modern - style high - rise building,1
"its tall , narrow , rectangular structure",1
vertical window lines,0
the surrounding buildings,1
the tall grey skyscraper,1
glass windows,0
then slightly veer,0
the brown building,1
multiple rectangular windows,0
"the large , multi - story grey commercial office building",1
horizontal bands,0
dark windows,0
the gray skyscraper,1
its very large rectangular windows,0
vertical lines,0
a straight line,0
the large building,1
its gray and black colors,0
narrow vertical windows,0
a large office building,1
its grey,0
blue hues,0
rectangular windows,0
a grid pattern,0
the medium - sized part,0
a multi - story building,1
dark window frames,0
a stone - like wall,1
multiple windows,0
its central section,0
an urban residential or office building,1
a beige skyscraper,1
its tall structure,1
a grid,0
dark windows,0
vertical concrete panels,0
the skyscraper building,1
its grey color,0
beige accents,0
vertically striped pattern,0
dark windows,0
tall and narrow size,0
The sequence,0
corresponding landmarks,1
a gray skyscraper,1
a rectangular structure,1
vertical windows,0
another black skyscraper,1
a very large building,1
"a large beige and dark blue tall , multi - level building",1
repetitive window design,0
beige structural elements,0
a tall brown skyscraper,1
a grid pattern,0
the beige building,1
multiple windows,0
an entrance,0
a structure,1
beige and black tones,0
large windows,0
a modern façade,0
a building,1
the beige building,1
large rectangular windows,0
the light gray high - rise building,1
"the tall , rectangular beige building",1
repetitive windows,0
the light beige building,1
a long vertical alignment,0
the facade,1
the top,0
the image,0
the beige building,1
multiple rectangular windows,0
a flat rooftop,1
"the large , cracked wall surface",1
the side,0
a building,1
the very tall and narrow building,1
an off - white color,0
a smooth facade,1
vertical window rows,0
a tall building,1
a white and black grid - like pattern,0
another large building,1
its vertical window alignment,0
a slight right turn,0
a tall skyscraper,1
a beige hue,0
a grid pattern,0
large blue - tinted windows,0
vertical and horizontal lines,0
a light gray building,1
"a tall , rectangular windowed façade",0
Slightly veer,0
"a tall , rectangular building",1
a white exterior,1
black windows,0
a minimalist modern design,0
a prominent vertical window pattern,0
The building,1
a medium,0
large size,0
a tall building,1
a white facade,1
rectangular windows,0
This structure,1
a multi - story building,1
a significant height,0
the white and black modern building,1
vertical black window panels,0
"a tall , multi - story structure",1
dark blue windows,0
a tall rectangular shape,0
multiple vertical dark glass panels,0
This structure,1
significant height,0
the surrounding buildings,1
a tall office building,1
the medium - sized white building,1
multiple black - framed windows,0
rooftop access,1
"Then , slightly veer",0
the left,0
the medium - sized white office building,1
its modern facade,1
dark window panels,0
the high - rise building,1
a beige color,0
dark windows,0
a distinct grid window pattern,0
the frame,0
a beige building,1
multiple black square windows,1
a building,1
a beige skyscraper,1
its tall structure,1
numerous dark windows,0
a grid pattern,0
another beige high - rise building,1
a grid - like window arrangement,0
dark rectangular windows,0
slight protrusions,0
some sections,0
a light gray building,1
a tall rectangular shape,0
multiple windows,0
a tall building,1
its light gray color,0
numerous windows,0
"Then , slightly veer",0
the left,0
the beige building,1
multiple vertical windows,0
a high - rise,0
the gray building,1
vertical window rows,0
facade cracks,1
a tall skyscraper,1
the medium - sized red apartment building,1
the light grey high - rise building,1
tall vertical rows,0
rectangular windows,0
the medium - sized brown commercial building,1
protruding frames,0
the gray building,1
large rectangular windows,0
the large gray high - rise building,1
a checkerboard pattern,0
darker and lighter gray panels,0
an off - white building,1
a rectangular design,0
multiple square windows,1
a white skyscraper,1
black windows,0
a black and white building,1
a tall structure,1
large black grid - patterned windows,0
the image,0
a red building,1
a flat rooftop,1
medium size,0
a medium,0
large commercial or office building,1
light beige color,0
uniform rows,0
rectangular windows,0
two distinctive facades,1
the right side,0
the surrounding structures,1
a gray building,1
large rectangular windows,0
"a "" building "" type",1
a building,1
a red - brown and dark gray color,0
a grid pattern,0
slightly veer,0
another building,1
This one,0
a repeating pattern,0
brick columns,0
a tall structure,1
commercial or residential purposes,0
the beige building,1
large rectangular windows,0
the light brown building,1
darkened window frames,0
a tall structure,1
a repetitive window pattern,0
the frame,0
a light gray urban building,1
large size,0
rectangular windows,0
a flat roof,1
the brown building,1
rectangular windows,0
multiple floors,1
a large structure,1
several stories,0
the light brown commercial or office building,1
symmetrical window patterns,0
classic architectural elements,0
a high - rise commercial building,1
a brown color,0
rectangular windows,0
"the prominently tall , high - rise building",1
its beige and light brown hues,0
multi-story windows,0
"a beige - colored , high - rise building",1
"its large , rectangular structure",1
a grid - like window pattern,0
a beige skyscraper,1
an art deco design,0
a stepped pyramid top,0
a height,0
another beige skyscraper,1
a rectangular grid pattern,0
other buildings,1
a modern skyscraper,1
a large building rooftop,1
light gray color,0
rectangular sections,0
a medium - sized brown and red structure,1
a visible framework,0
"the tall , modern skyscraper",1
a glass and metal facade,1
"the tall , modern office building",1
vertical off - white frames,0
dark reflective glass,0
a building,1
a ** glass façade,0
grid - like panel divisions,0
* large modern high - rise structure,1
a slight left turn,0
another building,1
a ** glass - panel exterior,1
grid - like patterns,0
"a ** tall , modern skyscraper",1
"the dark , reflective skyscraper",1
white grid lines,0
"a curved , cylindrical structure",1
a grid pattern,0
the foreground,0
its large size,0
a modern skyscraper,1
square windows,1
a medium - sized commercial building,1
a simple facade,1
evenly spaced rectangular windows,0
a medium - sized red building,1
a flat rooftop,1
a rectangular structure,1
black windows,0
a large white building,1
grid - like windows,0
a medium - sized beige palm tree,0
distinctive green leaves,0
a large gray building,1
rectangular windows,0
a modern facade,1
a large light beige office building,1
dark vertical windows,0
a grid pattern,0
a light beige building,1
a pattern,0
rectangular windows,0
a modern office building,1
multiple square windows,1
dark panes,0
medium - to - large high - rise,0
the red - brown brick building,1
its large size,0
multiple recessed windows,0
the tall and wide commercial or office building,1
its brown color,0
"a pinkish top , vertical pink panels",0
the top,0
the midsection,0
This building,1
the area,0
the skyscraper,1
its gray color,0
a glass and steel exterior,1
reflective windows,0
a large size,0
an industrial structure,1
a dark brick color and medium size,0
rectangular windows,0
a grid pattern,0
vertical corrugated metal panels,0
a brown building,1
medium - sized windows,0
a dark gray commercial structure,1
a brick exterior,1
white - framed windows,0
a flat roof,1
the nearby buildings,1
a dark brown building,1
a brick façade,0
rectangular windows,0
the brown skyscraper,1
a grid - like window pattern,0
the dark office building,1
reflective windows,0
horizontal line patterns,0
a medium - sized white rectangular building,1
flat roof,1
a tall and wide modern skyscraper,1
a cylindrical shape,0
a grid - like glass facade,1
glass - like reflective surfaces,1
the surrounding structures,1
"the large , modern high - rise building",1
its white color,0
numerous rectangular windows,0
the adjacent structure,1
a similar large white modern office building,1
many rectangular windows,0
""" Head",0
a large gray building,1
a prominent rectangular structure,1
classic architectural details,0
multiple windows,0
"the dark gray , medium - sized façade section",0
rectangular windows,0
grid patterns,0
a brickwork building,1
the building,1
a light beige color,0
a grid pattern,0
the modern structure,1
a white color,0
medium rectangular windows,0
"-sized , modern building",1
a window,0
light contrast,0
the brown façade,0
dark and light window areas,0
a large rectangular grid,0
a uniform pattern,0
an illuminated bottom right section,0
a building,1
a dark grey façade,0
a brick design,0
uniformly arranged square windows,1
This structure,1
multiple floors,1
a residential or office building,1
office building,1
a flat roof,1
a prominent HVAC unit,0
the rooftop,1
a large brown building,1
brick texture,0
arched windows,0
"a large , multi - story dark gray structure",1
its brick texture,0
typically an industrial or commercial building,1
a gray building,1
a brick - patterned facade,1
arched windows,0
This multi - story building,1
a residential or historical purpose,0
the gray building,1
a brick exterior,1
large windows,0
"the large , white building",1
rectangular windows,0
"the medium - sized , light beige modern office building",1
large grid windows,0
a plain facade,1
the grey urban high - rise building,1
large multi - story structures,1
arched windows,0
a brick façade,0
the modern office building,1
a dark color,0
cream borders,0
medium - sized rectangular windows,0
reflective glass panels,0
a large white building facade,1
a grid,0
a slight left turn,0
a large modern office building,1
a beige and dark reflective glass appearance,0
a grid - like structure,1
reflective windows,0
a significant portion,0
the image,0
the brown building,1
black windows,0
a rectangular grid,0
medium size,0
the black and gold building,1
a grid - like pattern,0
the facade,1
reflective glass panels,0
the white high - rise building,1
rectangular windows,0
the large skyscraper,1
its black and white grid - like pattern,0
large glass panels,0
a medium - sized historic building,1
a gray brick façade,0
multiple arched windows,0
a large modern skyscraper,1
a slight left turn,0
a large multi - story modern commercial or office building,1
its white and dark reflective glass,0
grid - like window arrangements,0
blurred reflections,0
a structure,1
a color scheme,0
a grid pattern,0
rectangular panels,0
This structure,1
the entire visible frame,0
a ceiling,0
an exterior building facade,1
a modern skyscraper,1
its tall size,0
the majority,0
the image 's center,0
"reflective , grid - like windows",0
the dark gray skyscraper,1
a tall structure,1
numerous windows,0
a large size,0
the dark blue modern office building,1
"tall , rectangular shapes",0
reflective glass windows,0
a corner view,0
a structure,1
a light beige color,0
"a tall , vertical design",0
repetitive rectangular windows,0
a prominent concrete band,0
its midsection,0
"This large , multi - story skyscraper",1
a type,0
a dark structure,1
white grid lines,0
a curved glass facade,1
a grid pattern,0
the image center,0
a skyscraper,1
office building,1
the gray open space,0
a concrete surface,1
"Then , head",0
a left turn,0
the dark brown building,1
numerous uniform windows,0
rooftop structures,1
medium height,0
surrounding buildings,1
the light grey,0
a red facade,1
one side,0
a flat roof,1
an aging texture,0
"a tall , multi - story building",1
the surrounding buildings,1
commercial or office type,0
the tall skyscraper,1
a gray office building,1
its reflective windows,0
a grid pattern,0
The instruction,0
a dark façade,0
white vertical and horizontal lines,0
a grid - like structure,1
reflective windows,0
light illumination,0
"The tall , multi - story structure",1
a building,1
the building,1
a large high - rise structure,1
a distinct facade,1
a dark color,0
illuminated sections,0
a grid - like pattern,0
some lit - up windows,0
the frame,0
the large high - rise building,1
a light beige color,0
darker windows,0
This structure,1
rectangular windows,0
a grid pattern,0
a modern apartment or office type,0
a building,1
a black - and - white color scheme,0
lit sections,0
a grid - like structure,1
evenly spaced lines,0
a solar panel,0
a significant portion,0
the view,0
another building,1
dark glass,0
illuminated windows,0
distinct light patterns,0
the image width,0
the skyscraper,1
its gray color,0
black windows,0
a grid pattern,0
the facade,1
its tall stature,0
the white building,1
its rectangular windows,0
flat roof,1
medium size,0
the reddish - brown building,1
rectangular windows,0
vertical structural elements,0
the tall and prominent building,1
its brown and purple color,0
vertical column - like structures,1
the top,0
a distinct purple overhang,0
noticeable size,0
the surrounding buildings,1
the white building,1
medium - sized rectangular windows,0
the light gray building,1
"large , symmetrically arranged dark rectangular windows",0
a gray paved road,1
lane markings,0
its lengthy and narrow structure,1
a large gray building,1
its towering presence,1
multiple windows,0
flat roof,1
a light brown rectangular building,1
over 12 stories,0
numerous windows,0
"a gray , medium - sized flat open surface",1
building materials,1
the roof,1
a building,1
"a large , dark grid - like facade",1
"a large , multi - story building",1
white walls,1
dark accents,0
rectangular windows,0
a flat rooftop,1
the dark gray building,1
its tall structure,1
large glass windows,0
a rectangular grid pattern,0
a white rooftop access structure,1
ventilation unit,0
a ladder,0
its side,0
small chimney - like structures,1
a size,0
the rooftop,1
a straight direction,0
gray rooftops,1
a central low - rise rectangular shape,0
taller structures,1
a flat roof,1
a light brown,0
rectangular building,1
multi - level windows,0
the taller surrounding buildings,1
"the large , gray , open paved square area",1
few trees,0
"the medium , green landscape",0
the medium - sized grassy open space,0
"the large , green grassy square",1
a slight right turn,0
"the tall , dark brown building",1
arched windows,0
a large white multi - story building,1
rectangular windows,0
"a tall , white multi - story structure",1
black window frames,0
This structure,1
a grid - like window pattern,0
the windows,0
green / yellow light,0
the large blue - gray commercial building,1
a rooftop,1
ventilation systems,0
the large gray office building,1
grid - like windows,0
the medium - height light grey structure,1
arched windows,0
a detailed façade,0
a residential or office building,1
the brownish building,1
large rectangular windows,0
arched tops,0
the large office building,1
its white and black exterior,1
a prominent grid pattern,0
the large building,1
a modern glass and concrete design,0
the tall building,1
its white and dark grey color,0
a rectangular structure,1
a flat rooftop,1
a large dark gray office building,1
a rectangular form,0
a grid pattern,0
a similarly large dark skyscraper,1
a large dark grey building,1
an antenna,1
another large building,1
a dark gray facade,1
the medium - sized gray building,1
a flat roof,1
HVAC units,0
"the large , multi - story building",1
black color,0
white grid lines,0
rectangular windows,0
a grid pattern,0
a beige building,1
horizontal frames,0
a gray building,1
a detailed stone,0
large arched windows,0
the large gray and black building,1
a grid pattern,0
"a tall , multi - story building",1
a brown color,0
rectangular windows,0
arched tops,0
the upper section,0
"a large , multi - story structure",1
The second landmark,1
a facade,1
brown brick,0
reddish - beige structural elements,0
a grid,0
vertical reddish - beige columns,0
a brick exterior,1
the gray building,1
large grid - patterned windows,0
the skyscraper,1
white grid patterns,0
vertical white stripes,0
tall window designs,0
the large grey building,1
a billboard,1
the large light brown building,1
rectangular windows,0
rooftop structures,1
the large cream - colored building,1
a tall rectangular structure,1
vertical window patterns,0
a hint,0
Art Deco styling,0
"Next , veer",0
the large modern skyscraper,1
beige and black colors,0
a red car,0
the large gray skyscraper,1
the medium - sized beige office building,1
decorative elements,0
"a light brown , large , rectangular building",1
numerous windows,0
"a gray , large commercial building",1
roof devices,1
ventilation systems,0
"another tall , gray skyscraper",1
large windows,0
Briefly pause,0
"a small , dark residential building",1
horizontal blinds,0
"a large , multi - story beige building",1
a rectangular grid,0
ornate accents,0
a medium - sized white structure,1
a triangular rooftop,1
a small rectangular addition,0
a door,0
a residential / commercial building,1
"a large , green , square area",1
a tall skyscraper,1
a large and tall structure,1
a black and white color scheme,0
a grid pattern,0
some illuminated sections,0
a large gray building,1
a row,0
arched windows,0
rooftop structures,1
a similarly large gray radio,0
telecommunication antenna,1
its tall metallic structure,1
a cylindrical base,0
overhead framework,0
another large gray building,1
antenna structures,1
its rooftop,1
a large building,1
a gray and brown brick exterior,1
large windows,0
a medium - sized light gray commercial building,1
its arched windows,0
black frames,0
a large gray building,1
grid - like windows,0
a prominent cylindrical tower,1
a tall black structure,1
reflective grid - patterned windows,0
white frames,0
the surrounding rectangular buildings,1
the large red brick building facade,1
the medium - sized gray urban structure,1
a brick exterior,1
fire escape,0
the larger gray mid-rise office building,1
numerous windows,0
the large gray commercial high - rise,0
multiple windows,0
the medium - sized brown brick residential apartment building,1
the medium red - brown residential building,1
a brick texture,0
metal railings,0
the scattered actions,0
a smooth and structured sentence,1
a gray building,1
"a tall , rectangular structure",1
large windows,0
rectangular design,0
multiple windows,0
a medium - sized gray building,1
a brick facade,1
"a tall , multi - story gray structure",1
detailed frames,0
a repetitive design pattern,0
a commercial or residential building,1
a medium - sized residential building,1
a brown color,0
brick exterior,1
the side,0
another medium - sized structure,1
lighter grey,0
a flat roof,1
a small structure,1
minimal windows,0
a residential or commercial purpose,0
standing medium,0
the surrounding buildings,1
a rooftop billboard,1
a boxing image,0
a brown billboard,1
a person,0
a musical instrument,0
a beige billboard showcasing vintage artwork,1
a dark gray rooftop,1
satellite dishes,0
a gray skyscraper,1
its numerous windows,0
another gray one,0
multiple windows,0
a distinctive narrow peak,0
yet another gray skyscraper,1
its repetitive window patterns,0
a gray building,1
a tall central majolica facade,1
arched windows,0
a dark gray wall,1
a door,0
itCitoitnittitiitnituiteit itsittitritaitiitgithittit ittitoitwitaitritditsit,0
itgitriteityit itcitoitlitoitrit,0
it.it itIittit itiitsit itlitaitritgiteit itiitnit,0
itcitoitnittitiitnituiteit itgitoitiitnitgit itsittitritaitiitgithittit,0
ittithiteit itniteitxittit itlitoitcitaittitiitoitnit,0
itlitaitritgiteit itmituitlittitiit,0
itoitritnitaitmiteitnittitaitlit itmitoitlitditiitnitgit itbiteittitwiteiteitnit,0
itaitnitdit itlitaitritgiteit itgitritiitdit,0
it.it itTithitiitsit,0
itsiteitritviteitsit itaitsit iteitiittithiteitrit itait itriteitsitiitditeitnittitiitaitlit itoitrit itcitoitmitmiteitritcitiitaitlit iteitsittitaitbitlitiitsithitmiteitnittit it.it,0
the brown building,1
numerous windows,0
a medium - sized gray building,1
rectangular windows,0
a flat roof,1
the building,1
its dark blue and black colors,0
a large grid - like pattern,0
reflective windows,0
a white building,1
numerous small windows,0
large size,0
a light gray building,1
white tones,0
rectangular windows,0
vertical lines,0
a modern office building,1
a large gray high - rise building,1
its rectangular windows,0
a medium - sized light gray historical building,1
an ornate decorative facade,1
the tall skyscraper,1
its dark color,0
some lighter details,0
rectangular shape,0
numerous windows,0
a slight left turn,0
the modern high - rise building,1
a brick red color,0
glass windows,0
the tall building,1
a brown and dark brown color,0
rectangular vertical structure,1
grid - patterned windows,0
the grey skyscraper,1
a tall building,1
multiple windows,0
the tan and brown commercial office building,1
vertical windows,0
reflective glass,0
the scattered actions,0
a smooth and fluent sentence,0
a medium - sized green and gray square,1
an open grassy area,0
scattered trees,0
a large multi - story office building,1
black window panels,0
a flat rooftop,1
a small rooftop structure,1
"a gray , multi - story apartment building",1
rectangular windows,0
the surrounding high - rise structures,1
a grey residential building,1
a rooftop and fire escapes,1
a medium - sized rectangular billboard,1
blue and white colors,0
the text,0
CHARLIE 'S CHOCOLATE,0
an advertisement,0
a medium - sized commercial office building,1
a gray exterior,1
a flat roof,1
multiple floors,1
nearby structures,1
the beige building,1
a flat roof,1
rooftop structures,1
the large brown building,1
a brick texture,0
multiple chimneys,0
a rooftop satellite dish,1
the medium - sized brown modern office building,1
pyramidal skylights,0
the roof,1
the medium - sized apartment building,1
red - brown and white colors,0
fire escapes,0
the medium - sized residential building,1
a light brown color,0
a rooftop,1
"the towering , dark gray skyscraper",1
a rectangular shape,0
a rooftop sign,1
""" Rise",0
a tall white building,1
a grid - like window pattern,0
a medium - sized rectangular concrete structure,1
worn or stained walls,1
black grid - like framed windows,0
multiple stories,0
the gray commercial building,1
multiple floors,1
classic architecture,0
the light gray urban building,1
a brick texture,0
multiple windows,0
a flat rooftop,1
the gray residential building,1
a decorative facade,1
arched windows,0
the surrounding structures,1
the modern office building,1
its gray color,0
grid - like facade,1
rectangular windows,0
a large landmark,1
a tall gray building,1
intricate architectural details,0
a destination,0
a dark building,1
a modern facade,1
metallic and glass panels,0
large pillars,0
the surrounding structures,1
a commercial / office building,1
a medium - high commercial building,1
gray color,0
a rooftop structure,1
a metal antenna,1
a large building,1
dark gray color,0
detailed molding,0
the light gray building,1
multiple rectangular windows,0
large size,0
the white building,1
"tall , rectangular windows",0
the light beige modern commercial building,1
a large glass window,0
a grid pattern,0
the camera,0
a large yellow building,1
multiple black - framed rectangular windows,0
"a large , multi - story brown building",1
aged brickwork,0
multiple rectangular windows,0
a beige building facade,1
a brick texture,0
the white and black modern office building,1
a large size,0
a grid - like pattern,0
the similar building,1
dark grey,0
the large size and grid pattern,0
another large structure,1
vertical patterns,0
a glass building facade,1
the large gray billboard,1
a vintage car advertisement,0
a large building,1
a medium - sized urban building,1
fire escapes,0
a residential building,1
a balcony,0
a black metal railing,0
medium height,0
about 4 to 5 stories,0
"the off - white , medium - sized building",1
a rectangular structure,1
large windows,0
"the brown , large building",1
rectangular windows,0
the upper floors,1
the modern office building,1
black glass,0
large glass windows,0
a grid pattern,0
the dark grey feature,0
horizontal slats,0
rectangular openings,0
close - up details,0
the medium - sized modern commercial building,1
the tall gray skyscraper,1
a clock tower,1
a slight left turn,0
the medium - sized beige commercial building,1
symmetrical windows,0
a large billboard,1
a medium - sized urban commercial building,1
gray tones,0
art deco,0
classical architectural style,0
numerous arched windows,0
the tallest nearby urban building,1
multiple windows,0
the color gray,0
a medium - sized historical structure,1
arched windows,0
numerous floors,1
the gray hue,0
a medium - sized wall section,1
a gray brick wall,1
"a large , modern high - rise building",1
its light grey color,0
", rounded corners",0
horizontal panel separators,0
a building,1
its beige color,0
large size,0
"rectangular , grid - like windows",0
an apartment building,1
a grey exterior,1
medium size,0
a flat rooftop,1
a small dome,0
the gray rectangular air vents,0
a wall,1
a large architectural element,0
the large green smooth wall texture,1
a building,1
a tall vertical building,1
the same green hue,0
the gray commercial building,1
its medium - sized gridded windows,0
uniform rectangles,0
the majority,0
the center image,0
a right turn,0
the beige modern high - rise building,1
repeated horizontal grooves,0
the large gray modern building facade,1
rectangular sections,0
horizontal gaps,0
a tall crane structure,1
its blue and white color,0
large size,0
metal framework,0
a modern - style building facade,1
gray color,0
horizontal slats,0
a vertical grid pattern,0
a medium size,0
multiple floors,1
a medium - sized gray building,1
its rectangular facade,1
multiple windows,0
"a tall , modern structure",1
a cylindrical design,0
reflective glass,0
a right turn,0
a large skyscraper,1
a gray and black color palette,0
arched windows,0
grid - like patterns,0
a modern office building,1
its white and black exterior,1
reflective rectangular glass panels,0
your gaze,0
a large body,0
light reflections,0
its completely reflective surface,1
"a large , tan building",1
horizontal lines,0
"a medium - sized , brown rectangular object",0
a horizontal line,0
a dark spot,0
a manmade structure,1
the medium - sized blue crane,1
a metal frame structure,1
the medium - to - large - sized gray modern building or residential structure,1
horizontal window slats,0
a grid - like design,0
a light grey modern skyscraper,1
large rectangular grid windows,0
the large gray building,1
a flat roof,1
HVAC systems,0
a structured design,1
the gray building,1
a prominent rectangular structure,1
a modern design,0
multiple floors,1
the large green building,1
rectangular vertical ridges,0
another green structure,1
a smooth surface,1
the top,0
medium height,0
surrounding buildings,1
"the tall , rectangular building",1
a grey color,0
narrow windows,0
one side,0
the gray building,1
medium size,0
rounded edges,0
a unique ribbed pattern,0
the facade,1
the gray residential building,1
"a tall , multi - story structure",1
rounded balconies,0
each floor,1
a flat roof,1
large size,0
another large building,1
gray color,0
large windows,0
a large modern commercial building,1
dark color,0
reflective glass panels,0
the light gray skyscraper,1
office building,1
its numerous evenly spaced dark windows,0
its stature,0
the surrounding buildings,1
the light gray building,1
rounded corners,0
external piping,0
rooftop structures,1
"a high - rise , modern apartment building",1
the gray building,1
a rectangular shape,0
a rooftop structure and horizontal lines,1
a gray modern office building,1
the skyline,1
rooftop structures,1
a vent,0
an antenna,1
the data,0
the refined and fluent sentence,0
a building,1
a light gray color,0
a flat rooftop,1
a central ventilation,0
HVAC structure,1
"smaller , evenly distributed fixtures",0
The edges,0
The structure,1
a noticeable but relatively smaller central rooftop feature,1
the overall roof,1
the large gray building,1
a slab construction,0
rounded corners,0
vertical geometric accents,0
a large light gray building,1
a rooftop,1
a prominent vent,0
a large modern high - rise building,1
a gray exterior,1
a rectangular rooftop,1
ventilation ducts,0
a small connected tower structure,1
the right,0
a medium - sized building,1
its grey color,0
multiple rooftop pipes,1
an open ventilation grid,0
a blue antenna structure,1
the surrounding buildings,1
the medium - sized green building,1
rooftop equipment,1
